"idJeuxComplet","idCatalogue","reference","stock","prixHT","ancienPrixHT","information","isNeuf","etatBoite","etatMateriel","regleJeu","don","timeDon","vente","timeVente","actif"
"130","234","234-130","0","800","0",NULL,"0","BON ÉTAT","BON ÉTAT","SANS","0","0","|CB","1667930374","0"
"131","560","560-131","1","800","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"132","1087","1087-132","1","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","SUR LA BOITE","0","0",NULL,NULL,"1"
"133","52","52-133","0","1200","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","|CB","1667900892","0"
"134","1088","1088-134","1","600","0","Boîte en bon état. Un côté est décoloré.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"135","246","246-135","1","800","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"136","559","559-136","1","500","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"137","964","964-137","1","500","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"138","1089","1089-138","1","600","0","Boîte usagée (usure normale)","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"139","721","721-139","1","1000","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"140","1094","1094-140","0","700","0","Boîte un peu abîmée sur les côtés. Deux scotchs.","0","ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0","|CB","1667900892","0"
"141","555","555-141","1","1100","0","Sur le recto de la boîte, le papier est abîmé à un endroit.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","10.00|ESPÈCES","1663500841","0"
"142","343","343-142","1","1400","0","Deux coins de la boîte scotchés + 1 marque de pliure. Quelques petites tâches à l'arrière de la boîte.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","14|ESPÈCES","1663500296","0"
"143","889","889-143","1","400","0",NULL,"0","BON ÉTAT","BON ÉTAT","SUR LA BOITE","0","0","4.00|ESPÈCES","1663500054","0"
"144","851","851-144","1","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","SUR LA BOITE","0","0","3.00|ESPÈCES","1663497127","0"
"145","16","16-145","1","600","0","Un coin de la boîte légèrement enfoncé.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","1","1665519290",NULL,NULL,"0"
"146","250","250-146","1","700","0","Quelques morceaux de scotch sur la boîte.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","7.00|ESPÈCES","1663500351","0"
"147","993","993-147","1","900","0","Coins de la boite légèrement abîmés.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"148","717","717-148","1","1100","0","Fiches notes du détective : 4 originales + un lot de fiches photocopiées.
Boîte un peu usée.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"149","21","21-149","1","700","0","Une légère tache sur la boîte + 1 coin légèrement abîmé.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","7.00|ESPÈCES","1663505332","0"
"150","79","79-150","1","1200","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","12.00|ESPÈCES","1663511530","0"
"151","1195","1195-151","1","200","0","1 pliure sur le plateau de jeu","0","COMME NEUF","ÉTAT MOYEN","SUR LA BOITE","0","0",NULL,NULL,"1"
"152","1196","1196-152","1","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"153","1197","1197-153","1","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"154","361","361-154","1","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","SUR LA BOITE","0","0",NULL,NULL,"1"
"155","977","977-155","1","400","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"156","40","40-156","1","600","0","Boîte un peu usée (quelques pliures et couleurs un peu défraîchies)","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"157","878","878-157","1","900","0","Trace d'usure sur la boîte + 2 coins scotchés","0","ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0",NULL,NULL,"1"
"158","57","57-158","1","800","0","Une lettre écrite au bic  sur le verso de la boîte.","0","BON ÉTAT","BON ÉTAT","SUR LA BOITE","0","0",NULL,NULL,"1"
"159","527","527-159","1","500","0",NULL,"0","ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0",NULL,NULL,"1"
"160","293","293-160","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"161","308","308-161","1","700","0","Une étiquette collée sur le verso de la boîte avec un nom écrit dessus.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"162","1207","1207-162","1","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"163","1208","1208-163","1","500","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"164","1215","1215-164","1","700","0","3 déchirures sur un côté de la boîte, dont 2 réparées par du scotch.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
